Plaats,Gebied,Straat
Rotterdam,Feijenoord,Lindendaal 1
Rotterdam,Feijenoord,Kortewelle 20
Rotterdam,Feijenoord,Oostendamstraat 41
Rotterdam,Feijenoord,Narcissenstraat 335
Rotterdam,Feijenoord,Wodenstraat 1121
Rotterdam,Feijenoord,Staalstraat 91
Rotterdam,Feijenoord,Putselaan 241
Rotterdam,Feijenoord,Paul Krugerstraat 113
Rotterdam,Feijenoord,Staalstraat 1
Rotterdam,Feijenoord,Tolhuisstraat 2
Rotterdam,Feijenoord,Wilhelminakade 967
Rotterdam,Feijenoord,Hillelaan 30
Rotterdam,Feijenoord,Hillekopplein 82
Rotterdam,Feijenoord,Laan op Zuid 780
Rotterdam,Feijenoord,WG Witteveenplein 102
Rotterdam,Feijenoord,J.B. Bakemakade 72
Rotterdam,Feijenoord,Oranjeboomstraat 169
Rotterdam,Feijenoord,Lodewijk Pincoffsweg 223
Rotterdam,Feijenoord,Lodewijk Pincoffsweg 329
Rotterdam,Feijenoord,Laan op Zuid 203
Rotterdam,Feijenoord,Nijverheidsstraat 184
Rotterdam,Feijenoord,Stieltjesstraat 16
Rotterdam,Feijenoord,Louis Pregerkade 10
Rotterdam,Feijenoord,Prins Hendrikkade 154
Rotterdam,Feijenoord,Prins Hendrikkade 148
Rotterdam,Feijenoord,Maaskade 152
Rotterdam,Feijenoord,Sleephellingstraat 50
Rotterdam,Feijenoord,Prins Hendrikkade 88
Rotterdam,Feijenoord,Maaskade 89
Rotterdam,Feijenoord,Van der Takstraat 34
Rotterdam,Feijenoord,Prins Hendrikkade 43
Rotterdam,Feijenoord,Prins Hendrikkade 10
Rotterdam,Feijenoord,De Ruyterstraat 1
Rotterdam,Charlois,Bas Jurgeriusstraat 31
Rotterdam,Charlois,Wolphaertbocht 372
Rotterdam,Charlois,Katendrechtse Lagedijk 10
Rotterdam,Charlois,Sluisjesdijk 151
Rotterdam,Charlois,Sint-Janshaven 476
Rotterdam,Charlois,Grondherendijk 17
Rotterdam,Charlois,Boergoensestraat 80
Rotterdam,Charlois,Portlandstraat 46
Rotterdam,Charlois,Lepelaarsingel 75
Rotterdam,Charlois,Wulpstraat 5
Rotterdam,Charlois,Boergoensevliet 110
Rotterdam,Charlois,Mezenstraat 59
Rotterdam,Charlois,Boergoensevliet 180
Rotterdam,Charlois,Schulpplein 36
Rotterdam,Charlois,Nijmegenstraat 27
Rotterdam,Charlois,Poelenburg 10
Rotterdam,Charlois,Ludenhorst 4446
Rotterdam,Charlois,Binkhorst 48
Rotterdam,Charlois,Langenhorst 241
Rotterdam,Charlois,Slinge 303
Rotterdam,Charlois,Slinge 162
Rotterdam,Centrum,Westerkade 31
Rotterdam,Centrum,Zeemansstraat 13
Rotterdam,Centrum,Kievitslaan 31
Rotterdam,Centrum,Parklaan 18
Rotterdam,Centrum,Parklaan 16
Rotterdam,Centrum,Veerhaven 2
Rotterdam,Centrum,Westplein 9
Rotterdam,Centrum,Maasstraat 6
Rotterdam,Centrum,Vasteland 12
Rotterdam,Centrum,Vasteland 60
Rotterdam,Centrum,Scheepstimmermanslaan 14
Rotterdam,Centrum,Van Vollenhovenstraat 14
Rotterdam,Centrum,Koningin Emmaplein 15
Rotterdam,Centrum,Parkhaven 9
Rotterdam,Centrum,Coolhaven 211
Rotterdam,Centrum,Rochussenstraat 230
Rotterdam,Centrum,Breitnerstraat 41
Rotterdam,Centrum,Mathenesserlaan 207
Rotterdam,Centrum,s-Gravendijkwal 66
Rotterdam,Centrum,Breitnerstraat 69
Rotterdam,Centrum,Gouvernestraat 250
Rotterdam,Centrum,Eendrachtsweg 38
Rotterdam,Centrum,Kortenaerstraat 14
Rotterdam,Centrum,William Boothlaan 18
Rotterdam,Centrum,Schilderstraat 57
Rotterdam,Centrum,Schiedamsevesthof 30
Rotterdam,Centrum,Schiedamsevesthof 21
Rotterdam,Centrum,2e- westblaakhof 8
Rotterdam,Centrum,Karel Doormanhof 2
Rotterdam,Centrum,Mauritsweg 37
Rotterdam,Centrum,Westersingel 41
Rotterdam,Centrum,Westersingel 6
Rotterdam,Centrum,Josephstraat 60
Rotterdam,Centrum,Henegouwerlaan 76
Rotterdam,Centrum,Delfsestraat 29
Rotterdam,Centrum,Scheepmakershaven 60
Rotterdam,Centrum,Glashaven 7
Rotterdam,Centrum,Oosterkade 119
Rotterdam,Centrum,Haringvliet 90
Rotterdam,Centrum,Haringvliet 25
Rotterdam,Centrum,Hoogstraat 3
Rotterdam,Centrum,Goudsewagenstraat 2
Rotterdam,Centrum,Groenendaal 225
Rotterdam,Centrum,Rijstuin 9
Rotterdam,Centrum,Mariniershof 10
Rotterdam,Centrum,Goudsesingel 262
Rotterdam,Centrum,Pannekoekstraat 66
Rotterdam,Centrum,Botersloot 141
Rotterdam,Centrum,Binnenrotte 15
Rotterdam,Centrum,Delfsevaart 24
Rotterdam,Centrum,Westewagenstraat 21
Rotterdam,Centrum,Grotekerkplein 10
Rotterdam,Centrum,Zijl 7
Rotterdam,Centrum,Steiger 12
Rotterdam,Centrum,Keizerstraat 108
